Cuisine,Count
Asian,139
Sri Lankan,128
Chinese,55
Cafe,50
Italian,36
Indian,35
American,29
International,24
European,21
Bar,19
Pub,19
Fast Food,19
Healthy,18
Seafood,16
Barbecue,9
Thai,9
Diner,8
Arabic,8
Pizza,8
Japanese,8
Beer restaurants,7
Street Food,6
French,6
Southwestern,6
Mexican,5
Indonesian,5
Mongolian,5
British,5
Soups,5
Korean,3
Fusion,3
Szechuan,3
Grill,3
Dining bars,3
Sushi,2
Wine Bar,2
Deli,2
Steakhouse,2
Irish,2
Australian,1
Cuban,1
Japanese sweets parlour,1
Central Asian,1
Vietnamese,1
Japanese Fusion,1
Singaporean,1
Eastern European,1
Shanghai,1
Hong Kong,1
Middle Eastern,1
Tibetan,1
Pakistani,1
Nepali,1
German,1
Sicilian,1
Southern-Italian,1
Taiwanese,1
NorthWestern Chinese,1
African,1
